Latitude,Longitude
33.744461,-118.387017
37.305884,-89.518148
32.204874,-95.855521
33.448377,-112.074037
-42.882606,147.325720
34.180839,-118.308966
52.663837,-8.626734
40.296898,-111.694648
36.162664,-86.781602
33.494170,-111.926052
40.193377,-85.386360
48.306141,18.076376
32.755488,-97.330766
35.982841,-86.518605
42.698702,-71.135058
43.968155,-69.208831
38.788106,-90.497436
49.610007,11.806215
35.118587,-120.590725
45.122371,-95.048659
40.827028,-74.110438
33.787914,-117.853101
28.538336,-81.379237
42.062992,-88.122720
41.600032,-87.938111
40.850364,-73.028513
53.546125,-113.493823
46.729553,-94.685900
49.282729,-123.120738
29.424122,-98.493628
28.538336,-81.379237
21.306944,-157.858333
40.789142,-73.134961
44.358035,-89.085946
28.538336,-81.379237
34.207320,-84.140193
45.123021,-92.536587
39.071224,-75.476033
46.055672,-71.958956
29.951066,-90.071532
30.627977,-96.334407
38.046678,-97.345036
29.760427,-95.369803
39.820893,-84.019379
40.625932,-75.370458
43.304526,-70.975619
34.006945,-84.139989
35.227087,-80.843127
39.099727,-94.578567
27.099778,-82.454263
42.098687,-75.917974
42.345829,-71.068832
41.719978,-87.747953
55.953252,-3.188267
41.089388,-112.064666
41.600032,-87.938111
33.980601,-117.375494
27.495592,-81.440907
39.015007,-94.198558
43.653226,-79.383184
42.360083,-71.058880
45.505106,-122.675026
40.712775,-74.005973
25.749197,-80.263541
32.735687,-97.108066
37.774930,-122.419416
33.770050,-118.193740
39.219061,-121.061061
35.337217,-80.242391
46.817181,-95.845325
29.424122,-98.493628
39.345466,-77.676518
44.875980,-93.027580
29.187199,-82.140092
39.081605,-121.561321
39.739236,-104.990251
34.108305,-118.287734
42.485178,-83.127056
43.038903,-87.906474
38.787470,-90.629892
39.633321,-105.317215
47.944540,-122.304582
40.712775,-74.005973
36.825228,-119.702919
36.115607,-97.058368
39.952584,-75.165222
51.054342,3.717424
29.951066,-90.071532
39.768403,-86.158068
32.715738,-117.161084
40.780840,-99.741504
40.579532,-74.150201
40.440625,-79.995886
40.741607,-81.316410
30.438256,-84.280733
34.048743,-84.338766
36.806495,10.181532
27.950575,-82.457178
29.760427,-95.369803
37.249540,-83.193228
41.878114,-87.629798
-37.782589,175.252762
40.179817,-76.178839
43.555623,-73.403723
34.949567,-81.932048
29.883275,-97.941394
32.386828,-83.354610
38.252665,-85.758456
43.156578,-77.608847
47.606210,-122.332071
39.728494,-121.837478
30.332184,-81.655651
33.494170,-111.926052
40.712775,-74.005973
41.606721,-80.572296
29.883275,-97.941394
32.840695,-83.632402
45.188854,-93.397454
38.833882,-104.821363
27.800583,-97.396381
40.712775,-74.005973
35.467560,-97.516428
32.776664,-96.796988
36.162664,-86.781602
36.852455,-121.401602
43.612109,-116.391513
42.936477,-71.053392
47.658780,-117.426047
42.084194,-88.013128
34.185102,-83.925181
36.850769,-76.285873
35.982841,-86.518605
32.222607,-110.974711
33.904715,-84.258848
63.430515,10.395053
38.522923,-77.290079
27.950575,-82.457178
40.712775,-74.005973
35.779590,-78.638179
47.606210,-122.332071
32.715738,-117.161084
40.298672,-83.067965
38.966673,-94.616901
38.804836,-77.046921
42.277035,-72.400888
39.099727,-94.578567
37.687176,-97.330053
35.159518,-84.876612
33.875294,-117.566438
34.503700,-93.055180
41.506700,-90.515134
40.275611,-103.851573
44.772976,-85.403975
38.833882,-104.821363
34.052234,-118.243685
32.222607,-110.974711
36.169941,-115.139830
38.254447,-104.609141
45.783286,-108.500690
40.316707,-80.042315
27.950575,-82.457178
35.467560,-97.516428
40.638714,-73.640130
32.776475,-79.931051
41.667699,-83.710407
35.779590,-78.638179
29.901244,-81.312434
50.445211,-104.618894
47.606210,-122.332071
40.847807,-74.574725
48.650241,-123.399005
30.267153,-97.743061
30.424928,-95.479942
27.866136,-82.326481
59.913869,10.752245
47.171765,-122.518458
36.162664,-86.781602
35.886137,-78.645547
38.443664,-90.201224
35.467560,-97.516428
47.185379,-122.292897
37.540725,-77.436048
41.270548,-72.946971
37.687176,-97.330053
37.357978,-121.821853
41.696699,-87.816998
40.712775,-74.005973
38.627003,-90.199404
40.813616,-96.702596
31.761878,-106.485022
33.214066,-97.142710
37.425041,-77.602740
40.712775,-74.005973
39.802764,-105.087484
35.779590,-78.638179
44.691491,-95.666831
42.963360,-85.668086
43.612109,-116.391513
40.507009,-111.413323
33.518589,-86.810357
40.893155,-74.581825
40.440625,-79.995886
35.045630,-85.309680
31.243787,-90.453154
33.415184,-111.831472
41.035222,-111.938552
30.367420,-89.092816
38.833882,-104.821363
40.779554,-72.861006
41.256537,-95.934503
44.810713,-73.083558
33.096726,-96.868754
32.341534,-90.321759
39.481654,-106.038352
35.595058,-82.551487
47.658780,-117.426047
42.368370,-83.352710
37.774930,-122.419416
40.441768,-75.341567
43.556917,-90.888741
37.338208,-121.886329
39.940345,-82.013192
33.862294,-118.136383
33.425510,-111.940005
33.538652,-112.185987
28.244177,-82.719267
34.593836,-98.418422
45.625738,-122.676089
39.103118,-84.512020
34.210389,-77.886812
33.849182,-118.388408
47.606210,-122.332071
38.881396,-94.819128
44.513319,-88.013296
34.101487,-84.519375
44.977753,-93.265011
32.998524,-96.840460
26.839610,-80.101914
39.445776,-83.804868
34.052234,-118.243685
34.045499,-83.929519
40.327570,-80.039498
36.065230,-119.016768
34.926416,-86.535945
41.586835,-93.624959
26.368306,-80.128932
40.440625,-79.995886
28.600000,-81.339235
47.673228,-117.239375
44.052069,-123.086754
38.951705,-92.334072
30.020768,-93.845726
47.204268,-121.991500
41.586835,-93.624959
39.844003,-75.022669
39.290385,-76.612189
38.254637,-121.299949
38.627003,-90.199404
39.728494,-121.837478
33.663844,-117.904743
51.759249,19.455983
40.093258,-82.921687
41.746975,-88.050341
32.715738,-117.161084
38.252665,-85.758456
40.650365,-73.624530
-34.424834,150.893113
36.162664,-86.781602
28.549445,-81.772854
44.052069,-123.086754
35.467560,-97.516428
41.878114,-87.629798
42.664928,-82.922465
42.483775,-72.186669
36.548434,-82.561819
34.165097,-84.799938
28.187790,-82.739545
34.023434,-84.615490
-34.011667,150.780278
35.221997,-101.831297
38.677959,-121.176058
43.653226,-79.383184
40.425869,-86.908065
32.195217,-110.825047
40.016516,-80.747879
39.290385,-76.612189
42.161495,-71.210107
37.338208,-121.886329
39.702892,-75.111842
46.208668,-119.119948
48.751911,-122.478685
43.073052,-89.401230
40.986761,-75.194625
42.886447,-78.878369
33.448377,-112.074037
30.627977,-96.334407
39.727323,-84.126033
53.219384,6.566502
51.044733,-114.071883
42.141744,-71.249510
33.494170,-111.926052
39.668994,-76.379405
36.169941,-115.139830
29.785777,-95.824509
40.510632,-74.647252
30.364016,-97.838686
40.712775,-74.005973
35.830633,-96.391118
49.848471,-99.950090
33.805704,-117.825579
50.674522,-120.327267
34.000710,-81.034814
33.577863,-101.855167
47.606210,-122.332071
29.595770,-90.719535
39.518600,-104.761363
40.440625,-79.995886
33.717471,-117.831143
33.236228,-96.801110
36.139017,-86.796924
33.494170,-111.926052
41.034564,-74.523189
32.461809,-90.115364
40.663580,-74.350248
31.463772,-100.437038
39.047345,-95.675158
41.499320,-81.694361
39.101983,-84.377825
29.785777,-95.824509
39.167568,-76.589277
39.739236,-104.990251
44.514988,-88.330380
34.052234,-118.243685
37.108386,-92.414887
30.655476,-97.001374
-37.814238,144.962586
34.774531,-96.678345
28.565279,-81.586185
42.098687,-75.917974
39.758948,-84.191607
37.146440,-92.768782
40.760779,-111.891047
40.440625,-79.995886
43.492661,-112.040758
36.850769,-76.285873
35.779590,-78.638179
-37.813628,144.963058
34.028926,-84.198579
42.571483,-71.800798
40.440625,-79.995886
41.499320,-81.694361
29.760427,-95.369803
30.627977,-96.334407
40.895893,-75.322954
41.079273,-85.139351
48.751911,-122.478685
49.848471,-99.950090
37.659179,-97.183867
34.028926,-84.198579
43.546022,-96.731265
38.973639,-92.743242
30.020768,-93.845726
39.909092,-74.154917
40.016103,-86.097671
39.768403,-86.158068
41.586835,-93.624959
35.227087,-80.843127
34.924594,-80.743402
41.060222,-111.971053
42.933692,-72.278141
32.776475,-79.931051
42.981312,-78.600148
33.748995,-84.387982
40.440625,-79.995886
40.208865,-85.410348
43.191226,-89.189643
35.084386,-106.650422
43.546022,-96.731265
35.149534,-90.048980
40.941066,-72.665354
52.604144,11.851773
32.765841,-97.207894
37.540725,-77.436048
43.615019,-116.202314
34.536218,-117.292764
36.162664,-86.781602
46.786672,-92.100485
36.806130,-88.276711
36.162664,-86.781602
29.971691,-95.693786
30.627977,-96.334407
49.282729,-123.120738
39.099275,-76.848306
39.099275,-76.848306
40.712775,-74.005973
40.743991,-74.032363
40.728224,-73.794852
29.883275,-97.941394
40.706210,-73.306230
31.463772,-100.437038
29.883275,-97.941394
34.023434,-84.615490
43.608619,-86.363963
42.957251,-83.830514
29.595770,-90.719535
43.016681,-88.007032
40.417287,-82.907123
40.232312,-76.884696
33.848284,-117.781292
33.434379,-111.638940
32.715738,-117.161084
34.052234,-118.243685
40.712775,-74.005973
34.092234,-117.435048
42.639672,-83.037585
29.651634,-82.324826
